Company Name,Global Size,Company Rating,Company Ownership Type,Company Age,Est Yearly Revenue
"Center for Autism and Related Disorders, Inc.",5,2.7,2,33,5
Center For Employment Opportunities,2,4,2,28,4
Center for Sustainable,2,2.8,8,27,6
Center for Sustainable Energy,2,2.8,8,27,6
CenterPoint Energy,6,3.5,3,22,11
"Central Business Solutions, Inc",1,4,2,22,3
Central California Alliance for Health,4,3.5,8,27,8
Central Garden & Pet Company,5,3.6,3,43,10
centrexIT,2,4.1,2,21,4
Centric Consulting,4,5,2,24,7
Centrica,7,3.3,3,26,12
Centrillion,1,2.2,2,14,2
Centro,4,4,2,22,7
Century Communities,4,3.5,3,21,8
CenturyLink,7,3,3,93,12
Cepheid,5,3.4,2,27,8
Cepheid,5,3.3,2,27,8
Ceridian,5,4.2,3,32,8
Cerner,7,3.8,3,44,11
CertainTeed,6,3.3,13,119,9
CES Limited,2,3.7,2,10,3
CF Industries,5,3.3,3,77,11
CF Industries,5,3.4,3,77,11
CGI,7,3.5,3,47,12
CH Reynolds,3,3.6,2,40,6
Chai,1,4.3,2,10,3
"Chalk Mountain Services of Texas, LLC",4,3.7,4,17,7
Chamberlain Group Inc,5,3.2,2,123,8
Chamberlain Group Inc,5,3.1,2,123,8
Champion EMS,3,2.8,2,25,5
Charles Drew University,4,3.4,1,57,6
Charles River Associates,4,4.6,3,58,7
Charles Schwab,7,3.6,3,50,11
Charles Schwab Corporation,7,3.6,3,50,11
Charlie's Produce,5,3.7,2,45,4
Charlotte Eye Ear Nose and Throat Associates,4,3.1,10,100,5
Checkers & Rally's Drive-In Restaurants,5,2.9,2,38,7
Chegg,5,4,3,18,7
Chenega MIOS,5,4.3,2,18,8
Chevo Consulting,2,3.1,2,21,4
Child and Family Service,3,3.7,2,124,5
Child Mind Institute,3,3.2,8,14,5
Children's Home Society of Florida,5,2.8,8,121,7
Children's Hospital Los Angeles,5,3.9,8,122,7
Children's Hospital of Philadelphia,5,3.7,8,168,6
Children's Institute Inc.,4,3.5,8,117,6
Children's National Health System,6,3.6,8,153,8
China Unicom,7,3.5,3,23,12
Chinatrust Bank USA,2,3.3,2,34,6
Chipotle,7,3.4,3,30,10
Chipton-Ross,2,3.3,2,40,4
Chobani,5,4,2,18,9
Choice Hotels,5,3.4,3,84,9
CHOP,5,3.7,8,168,6
Christian Care Ministry,4,3.2,8,30,8
CHRISTUS Health,7,3.3,8,154,11
CHRISTUS Health,7,3.4,8,154,11
CHS Inc.,7,3.3,3,94,12
Chubb,7,3.3,3,231,12
Cigniti Inc.,5,3.4,3,25,7
Cinedigm,2,2.8,3,23,6
Circle K,7,2.9,3,72,10
"Circle K Stores, Inc.",7,2.9,3,72,10
Circle Logistics,3,3.7,2,12,7
CIRCOR International,5,2.4,3,24,9
CIRE,1,4.8,2,13,5
Cirrus Logic,5,4.3,3,39,9
Cisco Systems - Customer Experience,7,4.2,2,39,12
Cisco Systems - Engineering - Software,7,4.1,2,39,12
Cision,5,2.9,2,131,8
CIT,5,3.1,3,115,10
CIT Group,5,3.1,3,115,10
Citadel,5,3.8,2,33,6
Citi,7,3.7,3,211,12
Citibank,7,3.7,3,211,12
Citius Tech,5,3.6,2,18,7
CitiusTech,5,3.6,2,18,7
Citizens Bank,7,3.3,3,35,11
Citizens Bank,7,3.4,3,35,11
Citizens Property Insurance,5,3.3,6,21,8
Citizens Property Insurance Corporation,5,3.3,6,21,8
City Facilities Management (FL) LLC,7,2.9,2,38,8
City Facilities Management (FL) LLC,7,3.2,2,38,8
City of Albuquerque,6,3.5,2,317,3
City of Hope,6,3.3,8,110,7
City of Irving,5,3.9,6,109,3
City of Lubbock,5,3.9,6,114,7
Civis Analytics,2,3.2,2,10,5
Civtech Inc.,1,4.5,2,21,2
CJ Cheiljedang,7,3,2,70,12
CKM Advisors,2,2.9,2,12,4
"Clarity Partners, LLC",2,4.6,2,19,4
Clarivate Analytics,5,2.8,3,7,9
Clay Lacy Aviation,2,4.4,2,57,6
Clear Channel Outdoor,6,2.9,3,122,10
"Clear Resolution Consulting, LLC",2,4.5,2,15,2
ClearBridge Technology Group,3,4,2,18,5
ClearCorrect,3,3.6,2,17,6
CLEAResult,5,2.9,2,20,7
Clever Devices,4,3.6,2,36,7
Client Solution Architects,3,3.4,2,20,6
ClientSolv Technologies,2,3.3,2,29,4
Clinical Pathology Laboratories,5,2.9,2,33,7
Clinicient,2,2.9,2,19,4
CliniComp,2,3.8,2,40,4
"CliniComp, Intl.",2,3.8,2,40,4
Clockwork Solutions,1,3.8,2,23,3
Cloudbigdata Technologies,5,4.7,2,25,6
CloudHesive,1,3.6,2,9,3
CloudRay Inc,2,4.6,2,15,3
Club Assist US LLC,3,4.2,2,32,4
ClubCorp,7,2.8,3,66,9
CM Solutions,1,5,2,22,2
CMC,7,3.2,2,48,12
CME Group,5,3.5,3,16,10
CMI/Compas,4,3.6,2,34,7
CNA,5,3.1,3,126,12
CNA Corporation,4,3.3,8,81,7
CNI,5,3.5,2,27,8
CNO Financial Group,5,2.7,3,44,10
Coach,7,3.7,3,82,10
CoAdvantage,3,3.5,2,26,6
Cobec Consulting,2,4.7,2,16,4
Cobham,6,2.8,3,134,10
Coca-Cola Bottling Consolidated,7,3.1,3,121,9
Cockroach Labs,2,4.7,2,8,3
CodeForce 360,2,3.7,2,13,5
Cogent Infotech,3,4.1,2,20,5
Cognizance Technologies,7,3.7,3,29,12
Cognizant,7,3.7,3,29,12
Cognizant Softvision,5,4.1,2,29,7
Cognizant Technology Solutions,7,3.7,3,29,12
Cognosante,5,3,2,15,7
CohnReznick,5,3.4,10,104,8
Colfax Corporation,7,2.1,3,28,10
Colgate-Palmolive,7,4.1,3,217,12
Collabera,7,4.1,2,32,8
Collaborative Solutions,4,3.7,2,20,6
Colliers International,7,3.5,3,125,10
Collins Consulting,3,2.7,2,31,5
Collins Consulting Inc,3,2.7,2,31,5
Collinwood Technology Partners,2,4.7,2,9,2
"Collinwood Technology Partners, LLC",2,4.7,2,9,2
Colorado Technical University,3,2.4,1,58,4
COLSA,5,4,2,43,7
Columbia Gas of Pennsylvania,4,4.4,3,30,6
Columbia University,7,3.9,1,85,10
Comcast,7,3.6,3,60,12
Comerica Bank,6,3.4,3,174,10
Comet Group,5,2.8,3,75,7
Commercial Energy,1,3.8,2,26,7
Common Ground,2,3.2,8,52,4
Commonwealth Financial,4,3.4,2,44,9
CommScope,7,3.4,3,58,10
CommScope Inc.,7,3.4,3,58,10
Community Behavioral Health,3,3.6,2,29,8
Community Health Systems,7,2.6,3,38,12
Community HousingWorks,2,2.4,8,35,3
CommUnityCare,5,3,8,14,7
Compass,5,4,2,11,8
Compass Group USA,7,3.5,13,29,12
"Competent Systems, Inc",3,3.7,2,20,4
CompleteRx Ltd,3,3,2,25,7
Complex Networks,3,3.4,2,21,7
CompQsoft,2,3.5,2,26,4
Comprehensive Health Services,3,2.8,8,54,4
ComPsych,4,3.1,2,39,8
CompuCom,7,2.8,3,36,10
CompuGain Corporation,3,4,2,23,5
Compunnel Inc.,5,3.3,2,29,7
Computacenter Americas,7,3.4,3,42,10
Computer Aid,5,3.3,2,42,8
"Computer Enterprises, Inc.",4,3.5,2,31,6
Computer Resources of America,1,4.2,2,31,8
Computer Services,5,3.9,3,58,7
Computer World Services Corp,3,2.9,2,33,6
Computershare,7,3.1,3,45,10
"Computex, Inc.",2,3.6,2,36,7
ComResource,3,4.6,2,32,5
comScore,5,2.7,3,24,9
ComTec Information Systems,2,4.4,2,27,5
Comtek Group,2,5,2,22,3
Conagra Brands,7,3.6,3,104,4
Concept Plus,2,4.6,2,15,4
Concept Software & Services Inc,1,5,2,25,2
"Concorde Career Colleges, Inc.",5,3.2,2,37,7
Concordia Plan Services,2,4.2,8,86,5
Concordia University Texas,3,2.8,1,97,5
Concourse Federal Group,1,4.9,2,14,3
Concurrency,2,3.8,2,34,5
Conductor,3,4.4,2,13,5
Confluent,4,4.6,2,9,7
Connect Search LLC,2,3.7,2,11,4
"ConnectYourCare, LLC.",3,3.2,2,21,5
Connor Group,3,4,2,17,5
"Conn's, Inc.",5,3.8,3,20,9
Constellation Brands,6,3.2,3,78,11
"ConsultNet, LLC",3,4.3,2,27,6
ConsumerTrack,2,3.2,2,19,5
Contact 1,1,4.4,2,34,2
Container Store,6,3.3,3,45,8
Contemporary Staffing Solutions,5,4.4,2,29,7
Continental,7,3.9,3,152,12
Contingent Network Services,3,3.1,2,39,5
"Contracting Resources Group, Inc.",1,5,2,21,3
Control Risks,5,3.5,2,48,7
Convergenz,2,4,2,23,5
Convoso,1,4.2,2,15,3
Cook Children's Health Care System,6,3.7,8,105,7
Cooper Pest Solutions,2,4.6,2,68,3
CooperSurgical,3,2.7,13,33,7
COPA Health,4,3.6,8,66,5
COPE Health Solutions,2,3.5,2,28,5
Corbins Electric,4,3.7,2,48,7
Cordoba,3,3.3,3,40,4
CoreLogic,6,3,3,13,9
Core-Mark,6,3.4,3,135,12
CoreSite,3,3.8,3,22,7
CORESPHERE LLC,2,3.7,2,20,4
Corgan,3,4.2,2,85,6
CORMAC,1,2.7,2,21,1
Corner Alliance,1,4.5,2,16,3
Cornerstone OnDemand,5,3.9,3,24,8
CornerStone Professional Placement,2,3.8,2,32,6
CornerStone Staffing,2,3.8,2,32,6
Corning,7,3.8,3,172,12
Corptax,3,3.3,2,49,7
Correct Designs,1,5,2,24,2
Corsearch,3,2.5,2,74,6
Cortech,3,2.9,2,24,4
CorTech LLC,3,2.9,2,24,4
"CorTech, LLC",3,2.9,2,24,4
CorVel,5,3.1,3,36,8
Costco Wholesale,7,4,3,47,12
Costco Wholesale Corporation,7,4,3,47,12
COUNCIL ON ACCREDITATION,2,3.8,8,46,4
County of Los Angeles,7,4.1,6,173,12
Covance,7,3.4,3,27,4
Covenant Living,5,3.6,8,138,2
Covenant Surgical Partners,5,4.1,2,15,7
Coventry,7,3.2,2,170,12
COVETRUS INC,6,3.2,3,4,10
COVETRUS INC,6,3.3,3,4,10
Cowen,4,3.7,3,105,7
Coyote Logistics,5,3.1,3,17,10
Cozen O Connor,5,3.6,2,53,7
"cPrime, Inc.",3,4.6,3,16,7
Crane Payment Innovations,5,3.3,13,10,8
Crawford Thomas Recruiting,2,5,2,16,4
Creative Financial Staffing,3,4.5,2,29,6
"Credible Behavioral Health, Inc.",2,4,2,23,5
Credit Suisse,7,3.8,3,167,12
Crescent Electric Supply,5,3.3,2,104,9
CRH Americas Materials Inc,7,3.3,3,53,12
Crisis Response Network,2,3.8,8,16,5
Criteo,5,3.9,3,18,10
Cross River Bank,3,3.3,2,15,6
Crossmark,7,3,2,118,8
Crossroads Technologies,2,3.1,2,27,3
"Crossroads Technologies, Inc.",2,3.1,2,27,3
CrowdStrike,5,4,3,12,7
Crowe,5,3.8,2,81,8
Crowley Maritime,6,3.6,2,131,9
Crown Bioscience,4,2.4,2,17,6
Crown Castle,5,3.5,3,29,10
Crown Castle,5,3.6,3,29,10
Crown Castle USA Inc,5,3.6,3,29,10
CRS Group,2,4.7,2,29,4
Crypsis,2,4.8,2,8,5
Crystal Equation,2,3.9,2,17,5
Crystal Stairs,3,1.7,8,39,7
CSCI Consulting,2,4.3,2,21,4
CSG,5,3.9,3,29,8
CSI Tech Inc.,2,3,2,29,7
CSL Behring,6,3.7,3,19,10
CSX,7,2.3,3,45,12
CTBC Bank USA,2,3.3,2,34,6
CTI Foods,5,2.3,2,20,7
Cubic,6,3.3,3,72,9
"Culmen International, LLC",3,3.6,2,19,5
CultureFit Technology Staffing,1,5,2,26,2
Culver Careers,2,4.8,2,44,3
Cuny Research Foundation,7,4.2,8,60,7
Curbell,3,3.6,2,76,7
CURO Health Services,3,2.4,2,13,4
Currency Exchange International,3,4.6,3,15,5
Custom Ink,5,4.1,2,23,7
CVR,5,3,3,17,10
CVS Health,7,2.9,3,60,12
cxLoyalty,5,3,2,42,9
CyberCoders,3,4.2,13,24,7
Cybersoft Technologies,2,3.2,2,25,4
"Cyberthink, Inc",3,3.6,2,27,5
"cyberThink, Inc.",3,3.6,2,27,5
CYNET CORP,4,4,2,13,6
CYNET SYSTEMS,4,4,2,13,6
Cypress-Fairbanks Independent School District,7,3.9,11,84,8
Cypress-Fairbanks ISD,7,4,11,84,8
Cypress-Fairbanks ISD,7,3.9,11,84,8
CyrusOne,3,3.4,3,23,9
Cystic Fibrosis Foundation,4,3.2,8,68,7
D.R. Horton,6,3.1,3,45,12
DaBella,3,4.4,2,12,6
Dade Moeller,3,3.6,2,29,4
Dallas Independent School District,7,3.3,11,156,9
Dallas ISD,7,3.3,11,156,9
Dana-Farber Cancer Institute,5,4.1,8,76,8
DATA Inc.,4,4.3,2,40,6
DATA Inc.,4,4.1,2,40,6
Data Trust,2,3.1,8,18,4
"Data-Core System, Inc.",3,3.1,2,35,5
Data-Core Systems,3,3.1,2,35,5
Datadog,5,4.1,3,13,7
DATAECONOMY,1,5,3,5,2
DataFactZ,4,3.9,2,21,6
Dataspace,1,4,2,29,3
DAtec,1,2.9,2,48,3
Daugherty Business Solutions,5,4.3,2,38,7
David Weekley Homes,5,4.3,2,47,9
DAV-LEAR SYSTEMS INC,1,4,2,31,2
DAWSON,2,3.4,2,77,6
Daymon,7,3.2,2,53,9
DCP Midstream LP,5,3,3,18,9
De Lage Landen,6,4,2,54,6
DealerSocket,5,3.9,2,22,7
Dean Foods,7,2.4,3,98,11
Decision Resources Group,5,3.1,13,33,7
DecisionLogic,1,3.1,2,18,4
"Dedicated Tech Services, Inc.",1,4.5,10,15,2
Deemsys,2,3.9,2,25,2
Deemsys Inc,2,3.9,2,25,2
Delek US,5,3,3,22,12
Delivery First,2,4.5,2,6,8
Dell,7,4.1,3,39,12
Dell Technologies,7,4.1,3,39,12
Della Infotech Inc.,2,4.1,2,11,3
Delmarva Foundation,4,3.1,8,50,6
Deloitte,7,4,2,173,12
Deloitte & Touche L.L.P.,7,3.9,2,173,12
Denken Solutions,3,4.4,2,13,5
"Denken Solutions, Inc.",3,4.4,2,13,5
Dentsply Sirona,7,3.3,3,124,10
DEREX TECHNOLOGIES INC.,2,4.1,2,27,4
Desert Financial,5,3.2,3,84,6
Desert Financial Credit Union,5,3.2,3,84,6
"Designer Brands (DSW, Camuto Group)",7,3.3,3,54,10
Deutsche Bank,7,3.5,3,153,12
Developmental Pathways,4,3.6,8,59,5
Dew Software,2,2.9,2,26,4
DeWolff Boberg & Associates,2,4,2,36,5
"Dewolff, Boberg & Associates",2,4,2,36,5
Dexcom,5,3.5,3,24,9
"Dexcom, Inc.",5,3.5,3,24,9
Dextro Software Systems,2,3.5,2,30,4
DHI Mortgage,5,4.4,13,43,6
DHL Express,7,3.8,13,54,12
DHPC Technologies,2,3.7,2,31,5
Dialexa,2,4.8,2,13,4
Diamond Hill Investment,2,3.4,3,23,5
Dickey's Barbecue,5,3.1,5,82,5
Dietz & Watson,4,2.8,2,84,7
"Digital Intelligence Systems, LLC",5,3.4,2,29,7
Digital Shadows,2,3.5,2,12,4
Digitalibiz,2,4,2,21,4
"Dillard's, Inc.",7,2.9,3,85,11
Dimensional Fund Advisors,5,3.2,2,42,9
DineEquity,4,3.4,3,16,8
Diocese of San Diego,3,2.8,8,104,4
Direct Agents,2,4.5,2,20,5
Direct Agents,2,4.4,2,20,5
Direct Energy,6,3.5,13,37,5
Discount Tire,7,4,2,63,10
Discover,7,3.8,3,38,11
"Discovery Communications, Inc.",7,3.5,3,38,11
Discovery Isle,2,2.2,2,17,2
DiscTech LLC,1,3.7,2,20,2
Distribution Now,5,2.4,3,10,10
Disys,5,3.4,2,29,7
"DISYS - Digital Intelligence Systems, LLC",5,3.4,2,29,7
Diversant LLC,5,3.8,2,18,7
"DIVERSANT, LLC",5,3.8,2,18,7
"DIVERSANT, LLC.",5,3.8,2,18,7
Diverse Lynx,4,3.9,2,21,7
Diverse Lynx Llc,4,3.9,2,21,7
DJO,6,3,13,45,9
DJO Global,6,3,13,45,9
DLL,6,4,2,54,6
DMGT,6,4,3,127,9
Doctors Making Housecalls,3,3.6,2,21,2
DOLLAR GENERAL,7,2.8,3,84,12
Donatech,3,4.3,2,36,4
Donatech Corporation,3,4.3,2,36,4
dormakaba,7,3.2,3,8,10
DoSomething.org,2,3.6,8,30,3
Dovel Technologies,5,4.2,2,18,7
Dover Corporation,7,3.6,3,68,11
DOWL,3,4.5,2,61,6
DPR Construction,5,4.4,2,33,10
Dresner Partners Investment Banking,1,3.3,2,32,4
Drilling Info,5,3.6,2,24,7
Dril-Quip,5,3.1,3,42,8
DRINKS,2,4.1,2,10,6
Driven Brands,5,1.8,2,17,10
"DriveTime Automotive Group, Inc.",6,3.7,2,21,10
"DSC Logistics, LLC",5,2.9,2,63,8
Dstillery,2,4,2,15,4
DSV Global Transport & Logistics,3,3.6,2,47,6
DSW,7,3.3,3,54,10
DTCC,5,3.4,2,50,9
Dtex Systems,2,4.1,2,21,3
"DuCharme, McMillen & Associates",3,4.5,2,51,6
Duetto,2,4.5,2,11,5
Dun & Bradstreet,5,3.1,3,182,9
Dun & Bradstreet,5,3.7,2,26,5
Duncan Financial Group,2,4.5,2,45,4
Duolingo,3,5,2,12,4
Durlston Partners,1,4.9,2,13,3
Dutech Systems Inc,2,4.9,2,8,2
DW Simpson,2,4.2,2,34,4
DXC Technology,7,3,3,6,12
DXP Enterprises,5,3.1,3,115,9
"DXP Enterprises, Inc",5,3.1,3,115,9
Dynam.AI,7,3.5,3,71,12
Dynamic Computing Services,2,4.7,2,33,4
DynCorp International,7,3.7,2,77,9
DynCorp International LLC.,7,3.7,2,77,9
DynPro Inc.,2,3.5,2,27,4
Dyson,7,2.9,2,30,7
E Business International,2,3.1,2,31,2
E&S Ring Management,3,3.7,2,64,5
E*TRADE Financial,5,3.9,3,41,10
"E2 Consulting Engineers, Inc.",3,3.5,2,35,6
E2open,5,3.5,2,23,7
E2open,5,3.4,2,23,7
EAC Product Development Solutions,2,3.7,2,27,5
Eagle Investment Systems,4,3.7,13,34,7
"Eagle Technologies, Inc.",2,4,2,19,5
Eastern Virginia Medical School,5,3.4,1,59,7
Eataly North America,5,3,9,13,2
eBay,7,3.6,3,28,12
eBay,7,3.5,3,28,12
Ebix,5,2.7,3,56,7
Echo Global Logistics,5,3.4,3,18,10
Eclaro,4,3.5,2,24,5
Eclaro,4,3.4,2,24,5
eClerx LLC,6,3.4,3,23,7
Ecolab,7,3.6,3,100,12
Econosoft,2,3.8,2,27,2
ECS Corporate Services,5,3.2,2,35,7
eDataForce consulting LLC,1,3.4,2,11,2
Eddie Bauer,6,3.3,13,103,9
EdgeLink,1,4.2,2,20,2
Edgilent Corp.,1,3.9,13,8,2
EDI Staffing,2,4.6,2,29,4
Edible Arrangements,3,3.5,2,24,8
Edmentum,4,3.5,2,11,7
Edmodo,2,3.8,2,15,3
Edmunds.com,4,3.6,2,57,7
EDP Renewables,4,3.6,3,25,8
EDP Renovaveis,4,3.6,3,25,8
"EDP World, Inc.",1,3.5,2,55,2
EdTec,1,3.7,2,22,2
"Education Development Center, Inc.",4,3.9,8,65,7
Edward Jones - Home Office,7,3.8,2,101,11
Edwards Lifesciences,7,4,3,65,10
edX,2,3.7,8,11,5
"Efficient IP, Inc.",2,4.1,2,19,4
Efficio,3,4.2,2,23,6
Efinancial,3,3.5,2,22,6
Egon Zehnder,5,3.3,2,59,8
eHana,1,3.6,2,22,2
eHealth,5,3.8,3,26,7
eHealth,5,3.7,3,26,7
"EIS Group, Inc.",5,3.1,13,25,8
ektello,3,4.6,2,12,4
El Toro,2,4.8,2,10,5
Elastic,5,4,3,11,7
Electro Rent Corporation,3,3.5,2,58,8
Electronic Arts,6,3.9,3,41,10
"Electronic Consulting Services, Inc.",5,3.5,3,23,8
Elevano,1,4.5,2,14,2
Elevate Services,5,3.5,2,12,6
ELEVI Associates,1,5,2,21,3
Eli Lilly and Company,7,3.7,3,147,12
Eliassen Group,5,4.2,2,34,7
Eliassen Group,5,4.3,2,34,7
Elite Technical,2,5,2,31,3
Ellucian Inc.,5,3.5,2,55,8
"E-Logic, Inc.",1,4.4,2,16,3
Elsevier,6,3.4,13,143,10
Emanate Health,5,4.8,2,40,6
EmblemHealth,5,2.4,8,86,11
EMCORE,4,2.7,3,39,6
EMCORE Corporation,4,2.7,3,39,6
EMD Millipore,6,3.2,13,355,9
Emerald Resource Group,1,4.2,2,26,2
Emergent BioSolutions,5,3,3,25,9
Emerson,7,3.7,3,133,12
Emerson,7,3.6,3,133,12
Emerson Electric Co,7,3.6,3,133,12
Emerson Electric Co.,7,3.6,3,133,12
emids,5,3.7,2,24,7
eMids Technologies,5,3.6,2,24,7
eMids Technologies,5,3.7,2,24,7
Emory University,7,4.2,1,49,10
Empire Today,5,3.6,2,64,8
Employbridge,5,3.5,2,17,10
Employees Retirement System of Texas,3,3.7,6,76,7
Empower Professionals,2,4.8,2,19,5
Empyrean Benefit Solutions,3,2.1,2,17,6
"Emtec, Inc.",4,3.8,2,28,7
Enbridge,7,3.2,3,74,12
Encore Capital Group,6,3.2,3,70,9
Encova,5,3.9,2,4,9
Endurance International Group,5,3.3,3,26,9
Energy Services Group,3,3.1,2,25,4
Energy Transfer,7,3.7,3,28,12
Energy Transfer Family of Partnerships,7,3.7,3,28,12
ENGIE,7,3.6,3,15,12
ENGIE North America,5,3.6,3,28,10
Engineered Profiles LLC,3,4,2,76,6
Engineering Research,3,2.7,2,30,6
"ENGINEERING SERVICES NETWORK, Inc.",3,4.2,2,29,4
EnLink Midstream,5,2.9,3,9,9
Enpro Industries,6,3.4,3,21,9
Enquero Inc,4,3.7,2,9,6
"ENSCO, Inc.",4,2.7,2,54,7
Ent Credit Union,4,3.7,9,66,7
Entegee,5,3.7,13,27,7
Enterprise Bank & Trust,4,4.4,3,29,11
Enterprise Integration,2,3.4,2,25,5
Enterprise Solutions Inc,2,3.8,2,23,5
Enterprise Solutions Inc,2,3.9,2,23,5
Enverus,5,3.6,2,24,7
Enview,1,5,2,8,2
Environmental & Occupational,2,3.3,2,33,5
Environmental Defense,4,4,8,56,7
Envision LLC,3,4.5,2,29,5
Envolve People Care,6,2.7,13,8,4
EPCOR,5,3.6,9,132,9
Epiq,6,3.6,2,35,9
Epiq Systems,6,3.6,2,35,9
"Epiq Systems, Inc.",6,3.6,2,35,9
ePromptus Inc.,1,3.1,2,18,2
"ePromptus,Inc",1,3.1,2,18,2
Epsilon,6,3.4,13,54,10
"Epsilon Systems Solutions, Inc.",4,3.5,2,25,7
Epson America,4,3.6,13,48,10
Equifax,7,3,3,124,10
Equinix,6,3.9,3,25,11
Equitable,6,3.6,3,164,8
Equity Residential,5,4.2,3,30,10
Ercot,4,3.6,8,37,7
ERGO Group,3,3.3,2,30,5
Eskenazi Health,5,3.8,7,164,5
ESolutions Inc,3,4,2,24,6
"E-Solutions, Inc.",5,3.8,2,20,7
eSolutionsFirst,1,3.7,2,16,2
"eSolutionsFirst, LLC",1,3.7,2,16,2
Esquire Recruiting,1,4.6,2,11,2
Esri,5,3.5,2,54,9
Essilor,7,3.1,3,51,11
Estée Lauder Companies,7,3.8,3,77,12
eTeam Inc.,2,3.7,2,24,6
Ethos Group,3,4.1,2,27,7
"EtiVenture, Inc.",1,4.8,2,15,4
Etsy,4,3.6,3,18,7
Euclid Innovations,3,4.5,2,14,4
Eurasia Group,1,2.9,2,25,3
Eurofins,7,3.4,2,36,10
Eurofins Scientific,7,3.4,2,36,10
Everise,6,4.5,2,13,7
Eversight,2,4.2,2,10,4
Evolent Health,5,2.9,3,12,5
"Evolent Health, Inc.",5,2.9,3,12,5
"Evolver, Inc.",3,3.2,2,23,5
Exact Sciences Corporation,5,4,3,28,7
Exar,3,2.6,3,52,7
eXcell,3,3.5,13,22,5
Exelon,7,3.9,3,23,12
Exelon Corporation,7,3.9,3,23,12
Exeter Finance,5,3.5,2,17,8
EXL,7,3.6,3,24,8
Exl Service,7,3.6,3,24,8
exp.,5,3.3,2,117,8
Experian,7,4.1,3,43,10
Experian,7,4.2,3,43,10
Exponent,5,3.5,3,56,7
EXPRESS,7,3.2,3,43,10
ExterNetworks Inc.,3,3.8,2,22,5
EY,7,3.8,2,34,12
F5 Networks,6,3.8,3,27,9
"FABERGENT, INC.",2,4.9,2,18,3
Facebook,7,4.5,3,19,11
Facility Solutions Group,5,3.4,2,41,8
FacilitySource,5,3.6,3,22,7
FactSet,6,3.7,3,45,9
"Fair, Isaac and Company",5,3.5,3,67,8
Fairway Independent Mortgage,6,3.7,2,27,12
Fairway Independent Mortgage Corporation,6,3.7,2,27,12
Family Health Centers of San Diego,5,3.5,8,53,7
FAMILY INVOLVEMENT CENTER,1,3.6,8,21,2
FanDuel,4,3.9,2,14,7
Fannie Mae,6,3.8,3,85,12
FarePortal,5,3.2,2,21,10
Farm Credit Bank of Texas,3,3.3,2,107,7
Farmer Brothers Coffee,5,2.9,3,111,8
Farmers Insurance,7,3.5,13,95,9
Farmers Insurance Group,7,3.5,13,95,9
"Fast Switch, LTD",4,4.3,2,27,7
Favor TechConsulting,3,4.1,2,16,6
Fay Servicing,4,2.2,2,15,4
FCx Performance,4,3.2,2,34,7
Federal Management Systems,3,4.4,2,33,4
Federal Mangement Systems,3,4.4,2,33,4
Federal Reserve Bank,5,3.7,2,109,12
Federal Reserve Bank of Boston,5,4,8,109,10
Federal Reserve Bank of Chicago,5,3.5,6,109,10
Federal Reserve Bank of Chicago,5,3.6,6,109,10
Federal Reserve Bank of Philadelphia,4,3.7,2,109,6
Federal Reserve Bank of Richmond,5,3.6,8,109,11
Federal Reserve Bank of St. Louis,5,3.5,2,110,9
"Federated Hermes, Inc.",5,3.5,3,68,9
Feeding America,2,3.3,8,44,10
FEI Systems,3,3,2,24,6
Ferrellgas,5,3.3,3,84,10
Ferring Pharmaceuticals,6,3.1,2,43,7
FHLB of Dallas,3,3.1,2,91,7
FHLBank Pittsburgh,3,3.8,2,91,9
FICO,5,3.6,3,67,8
Fidelity Investments,7,4,2,77,12
Fidelity National Financial,7,3.6,3,176,11
Fifth Third,7,3.4,3,34,11
Fifth Third Bank,7,3.4,3,34,11
Finance of America Reverse,2,3.2,13,20,4
Financial Additions,1,4.6,2,24,3
Financial Recovery Technologies,2,4.4,2,15,5
Finastra,7,3.2,2,6,10
FINRA,5,3.5,8,16,8
FINRA,5,3.4,8,16,8
First American Bank,4,3.2,2,50,7
First American Financial Corporation,7,3.4,3,134,11
First American Payment Systems,5,3.3,2,33,8
FIRST CHOICE COMMUNITY HEALTHCARE,3,2.2,6,51,5
First Derivatives,5,3.1,3,27,8
First Derivatives plc,5,3.1,3,27,8
First Health Group,7,3.2,2,170,12
First Horizon,6,3.5,13,159,9
First National Bank of Omaha,5,4,2,166,9
First Professional Services,2,5,13,5,2
First Quality Enterprises Inc,5,4.4,2,35,10
First Republic Bank,5,3.7,3,38,12
First Tech Federal Credit Union,5,3.3,2,71,7
FirstAmerica,7,3.1,2,28,11
FIS,7,3.6,3,55,12
Fiserv,7,3.1,3,39,12
Fish & Richardson,4,3.4,2,145,7
Fivesky,2,4.7,2,11,5
FJA-US Inc.,2,2.8,13,29,5
FLAGSTAR BANK,5,3.3,3,36,8
FLEETCOR,6,3.8,3,23,10
FleetPride,5,3,2,24,9
Flex,7,3.8,3,54,12
Flexport,5,3.5,2,10,8
Flexton,2,4,2,16,4
Flock Freight,2,4.2,2,8,5
Florida Blue,7,3.3,8,79,12
Florida East Coast Railway,4,2.8,13,62,7
Flow Data,1,3.8,2,26,4
FMS Inc.,2,2.7,2,30,4
Focal Systems,1,3.8,2,8,2
Focal Systems,1,3.9,2,8,2
Focus Management Group,3,2.2,2,22,5
Fooda,3,3.4,2,12,1
Foot Locker,7,3.6,3,49,11
Ford Motor Company,7,3.9,3,120,12
Forfeiture Support Associates,5,2.8,2,19,6
