Company Name,Company Rating,Global Size,Company Rating,Company Ownership Type,Company Rating,Company Age,Company Rating,Est Yearly Revenue
Barings,3.9,5,3.9,2,3.9,7,3.9,12
Barrios Technology,3.7,4,3.7,2,3.7,30,3.7,5
Base One Technologies,3.5,2,3.5,2,3.5,29,3.5,3
Bass Pro Shops,3.2,7,3.2,2,3.2,52,3.2,10
Bath & Body Works,3.8,7,3.8,13,3.8,21,3.8,10
Battelle,3.1,7,3.1,8,3.1,94,3.1,11
Baxter,3.5,7,3.5,3,3.5,92,3.5,8
BayCare Health System,3.8,7,3.8,8,3.8,26,3.8,7
Bayer,4,6,4,2,4,160,4,12
Baylor College of Medicine,3.6,6,3.6,1,3.6,123,3.6,9
Baylor Scott & White Health,3.5,7,3.5,2,3.5,120,3.5,11
Bayview Asset Management,3.7,5,3.7,2,3.7,28,3.7,7
Bayview Financial,3.9,5,3.9,2,3.9,49,3.9,8
Bayview Loan Servicing,3.5,4,3.5,2,3.5,24,3.5,6
Bazaarvoice,3.7,4,3.7,2,3.7,18,3.7,7
Bazaarvoice,3.5,4,3.5,2,3.5,18,3.5,7
BBVA,3.6,7,3.6,2,3.6,166,3.6,10
BCforward,2.8,5,2.8,2,2.8,25,2.8,1
BD,3.6,7,3.6,3,3.6,126,3.6,12
BDO USA,3.7,6,3.7,2,3.7,113,3.7,9
BDP International,3,5,3,2,3,57,3,9
Be The Match,2.6,4,2.6,8,2.6,36,2.6,7
Beachbody,3.3,4,3.3,2,3.3,25,3.3,8
"Beacon Consulting Group, Inc.",3.9,1,3.9,2,3.9,24,3.9,4
Beacon Hill Staffing Group,4.6,4,4.6,2,4.6,23,4.6,8
Beacon Hill Staffing Group,4.5,4,4.5,2,4.5,23,4.5,8
"Beacon Hill Staffing Group, LLC",4.5,4,4.5,2,4.5,23,4.5,8
"Beacon Hill Staffing Group, LLC",4.6,4,4.6,2,4.6,23,4.6,8
Beaumont Health,3.2,7,3.2,7,3.2,9,3.2,10
Beckman Coulter Diagnostics,3.4,7,3.4,13,3.4,88,3.4,10
Beckman Coulter Life Sciences,3.4,7,3.4,13,3.4,88,3.4,10
Beeline,4.7,3,4.7,13,4.7,21,4.7,6
BeiGene,2.8,5,2.8,3,2.8,13,2.8,4
Bell Helicopter,3.8,6,3.8,13,3.8,88,3.8,10
Benjamin Moore,3.3,5,3.3,2,3.3,140,3.3,9
Bennett Aerospace,4.2,2,4.2,2,4.2,15,4.2,3
Bentley Systems,3.8,5,3.8,2,3.8,39,3.8,8
Bergaila,3,3,3,2,3,36,3,7
Berkley,3.3,6,3.3,3,3.3,56,3.3,11
Berkley Aspire,3.3,6,3.3,3,3.3,56,3.3,11
Berlin Packaging LLC,3.1,5,3.1,2,3.1,125,3.1,10
Bernard,2.5,4,2.5,2,2.5,34,2.5,5
BerryDunn,4.1,3,4.1,2,4.1,49,4.1,6
Bessemer Trust,3.1,4,3.1,2,3.1,116,3.1,7
"Best Western International, Inc.",3.6,5,3.6,2,3.6,77,3.6,7
Beth Israel Lahey Health,3.1,6,3.1,7,3.1,11,3.1,4
BetterHelp,4.4,2,4.4,13,4.4,10,4.4,6
Beyond Meat,3.1,2,3.1,3,3.1,14,3.1,2
BGIS,3.8,6,3.8,3,3.8,31,3.8,7
BGRS,3.2,5,3.2,2,3.2,59,3.2,8
BHI Energy,3.1,5,3.1,2,3.1,44,3.1,7
BICP,5,1,5,2,5,14,5,4
BIDMC,3.6,7,3.6,8,3.6,27,3.6,9
BigCommerce,4,4,4,2,4,14,4,6
Bigfoot Biomedical,4.1,2,4.1,2,4.1,9,4.1,1
Bill.com,3.6,4,3.6,3,3.6,17,3.6,6
BioBridge Global,2.2,4,2.2,8,2.2,10,2.2,2
BioDuro,3.2,4,3.2,2,3.2,18,3.2,3
Biogen,3.6,6,3.6,3,3.6,45,3.6,12
Biola University,4.1,5,4.1,1,4.1,115,4.1,7
BioLegend,2.9,4,2.9,2,2.9,21,2.9,7
Bio-Rad,3.3,6,3.3,3,3.3,71,3.3,10
Biorev,4.8,2,4.8,2,4.8,12,4.8,2
Bioworld Merchandising,2.3,3,2.3,2,2.3,24,2.3,7
Bitdefender,3.8,5,3.8,2,3.8,22,3.8,7
"BizTek People, Inc.",4.6,2,4.6,2,4.6,13,4.6,3
BKD,4.2,5,4.2,2,4.2,100,4.2,8
Black & Veatch,3.6,7,3.6,2,3.6,108,3.6,10
Black Knight Financial Services,2.9,6,2.9,3,2.9,10,2.9,1
Black Knight Inc,2.9,6,2.9,3,2.9,10,2.9,1
Black Rifle Coffee Company,4.3,3,4.3,2,4.3,9,4.3,6
Black Systems LLC,4.4,3,4.4,2,4.4,16,4.4,5
Blackbaud,3.6,5,3.6,3,3.6,42,3.6,8
Blackberry,3.3,5,3.3,3,3.3,39,3.3,11
"Blackhawk Network, Inc.",3.4,5,3.4,2,3.4,22,3.4,9
BlackLine,3.9,4,3.9,3,3.9,22,3.9,7
Blue Apron,2.9,5,2.9,3,2.9,11,2.9,7
Blue Chip Marketing Worldwide,3,2,3,2,3,41,3,6
Blue Cross and Blue Shield of North Carolina,3.7,5,3.7,2,3.7,90,3.7,11
Blue Cross and Blue Shield of Vermont,4.6,3,4.6,8,4.6,43,4.6,7
Blue Cross Blue Shield of Florida,3.3,7,3.3,8,3.3,79,3.3,12
Blue Origin,2.9,5,2.9,2,2.9,23,2.9,4
Blue Shield of California,4.1,6,4.1,8,4.1,84,4.1,12
Blue State,3.4,2,3.4,13,3.4,19,3.4,5
Blue Yonder,4.3,6,4.3,2,4.3,38,4.3,9
"Bluebeam, Inc.",3.5,3,3.5,13,3.5,21,3.5,7
Bluehost,2.7,2,2.7,2,2.7,20,2.7,7
BMC HealthNet Plan,2.9,4,2.9,8,2.9,26,2.9,9
BMO,3.2,7,3.2,13,3.2,141,3.2,10
BMO Financial Group,3.7,7,3.7,3,3.7,206,3.7,12
BNSF,3,7,3,13,3,174,3,12
BNY Mellon,3.2,7,3.2,3,3.2,239,3.2,12
Boardwalk Pipelines,3.8,5,3.8,13,3.8,18,3.8,9
Bob Evans Farms,3.2,5,3.2,3,3.2,70,3.2,7
Boehringer Ingelheim,3.9,7,3.9,2,3.9,138,3.9,12
Boeing,3.7,7,3.7,3,3.7,107,3.7,12
Bombas,4.9,2,4.9,2,4.9,10,4.9,7
Booz Allen Hamilton,3.8,7,3.8,3,3.8,109,3.8,11
Booz Allen Hamilton Inc.,3.8,7,3.8,3,3.8,109,3.8,11
Bosch Group,4,7,4,2,4,137,4,12
Bosch Group,4.1,7,4.1,2,4.1,137,4.1,12
Boston Children's Hospital,3.9,6,3.9,8,3.9,154,3.9,8
Boston Children's Hospital,4,6,4,8,4,154,4,8
Boston Conservatory,4.5,3,4.5,1,4.5,25,4.5,5
Boston Consulting Group,4.3,7,4.3,2,4.3,60,4.3,3
Boston IVF,2.2,2,2.2,2,2.2,37,2.2,5
Boston Medical Center,3.8,5,3.8,8,3.8,27,3.8,9
Boston Properties,3.9,4,3.9,3,3.9,53,3.9,10
Boston University,4.2,7,4.2,1,4.2,184,4.2,9
Bowhead,3.1,5,3.1,13,3.1,24,3.1,7
Box,4.3,5,4.3,3,4.3,18,4.3,8
Boxer Property Management,2.2,4,2.2,2,2.2,31,2.2,4
Boyd Company,2.8,6,2.8,2,2.8,25,2.8,9
Boyd Company,2.6,6,2.6,2,2.6,25,2.6,9
Boys & Girls Club of Greater Milwaukee,3.8,4,3.8,8,3.8,163,3.8,9
Brady,3.6,6,3.6,3,3.6,109,3.6,9
Brady Corporation,3.6,6,3.6,3,3.6,109,3.6,9
Braintree,3.5,4,3.5,3,3.5,16,3.5,8
Braviant Holdings,4.8,2,4.8,2,4.8,9,4.8,6
Braze,4.3,4,4.3,2,4.3,12,4.3,7
Bridgepoint Consulting,4.3,2,4.3,2,4.3,24,4.3,4
BridgeView IT,3.8,1,3.8,2,3.8,18,3.8,4
Brigham and Women's Hospital,3.9,6,3.9,13,3.9,27,3.9,9
Bright Health,3.9,3,3.9,2,3.9,8,3.9,7
Brightwing,3.8,2,3.8,2,3.8,50,3.8,3
Briljent,3.5,2,3.5,2,3.5,25,3.5,4
Brillient,3.9,4,3.9,2,3.9,17,3.9,5
"Brillio, LLC",3.1,5,3.1,2,3.1,9,3.1,7
"Brinjac Engineering, Inc.",2,2,2,2,2,55,2,4
Brink's,2.7,7,2.7,3,2.7,164,2.7,10
Bristlecone,3.5,5,3.5,2,3.5,25,3.5,7
Bristol-Myers Squibb,3.8,7,3.8,3,3.8,165,3.8,12
Bristol-Myers Squibb,3.9,7,3.9,3,3.9,165,3.9,12
Bristow Group Inc,3.3,5,3.3,3,3.3,68,3.3,10
"Britech Group, Inc.",4.3,1,4.3,2,4.3,19,4.3,2
British American Tobacco,3.8,7,3.8,3,3.8,121,3.8,12
Broadcom,3.4,7,3.4,3,3.4,32,3.4,11
Broadridge,3.5,7,3.5,3,3.5,16,3.5,11
Broadridge,3.6,7,3.6,3,3.6,16,3.6,11
Broadridge Financial Solutions,3.5,7,3.5,3,3.5,16,3.5,11
Broadway Bank,3.9,4,3.9,2,3.9,82,3.9,7
Brookfield Properties’ retail group,3.9,5,3.9,13,3.9,37,3.9,10
Brooklyn Community Services,2.5,3,2.5,8,2.5,137,2.5,5
Brooks Rehabilitation,3.4,5,3.4,8,3.4,38,3.4,7
Brooksource,4.6,4,4.6,2,4.6,23,4.6,7
Brown Brothers Harriman,3.3,5,3.3,2,3.3,205,3.3,10
Bruker Corporation,3.2,6,3.2,3,3.2,63,3.2,9
BSI America,2.4,2,2.4,13,2.4,122,2.4,4
bswift,2.4,4,2.4,13,2.4,23,2.4,6
BTAS,3.1,3,3.1,2,3.1,28,3.1,4
BTG,3.9,1,3.9,3,3.9,102,3.9,1
BTI Solutions,2.3,3,2.3,2,2.3,17,2.3,5
BTS,4.3,4,4.3,3,4.3,37,4.3,7
Buchanan & Edwards,3.5,3,3.5,2,3.5,25,3.5,6
"Buckeye Partners, L.P.",3.2,5,3.2,3,3.2,137,3.2,11
Burlington Stores,3.1,7,3.1,3,3.1,51,3.1,11
Burns & McDonnell,3.8,6,3.8,2,3.8,125,3.8,9
Business Insider,3.4,3,3.4,2,3.4,16,3.4,6
"Business Management Associates, Inc.",4,2,4,2,4,18,4,4
Business Monitor International,2.2,2,2.2,2,2.2,39,2.2,6
BuzzClan LLC,4.2,1,4.2,2,4.2,10,4.2,3
BWX Technologies,3.4,6,3.4,3,3.4,173,3.4,8
C&S Wholesale Grocers,2.8,7,2.8,2,2.8,105,2.8,12
C.H. Robinson,3.3,7,3.3,3,3.3,118,3.3,12
C3.ai,4.7,3,4.7,2,4.7,14,4.7,7
Cabela's,2.9,7,2.9,3,2.9,62,2.9,10
Cable One,3.4,5,3.4,3,3.4,37,3.4,8
"Cable One, Inc.",3.4,5,3.4,3,3.4,37,3.4,8
CACI,3.6,7,3.6,3,3.6,61,3.6,10
CACI International,3.6,7,3.6,3,3.6,61,3.6,10
Cadence,4.7,1,4.7,2,4.7,9,4.7,2
Cadence Design Systems,4.1,6,4.1,3,4.1,35,4.1,9
"Cadence Design Systems, Inc.",4.1,6,4.1,3,4.1,35,4.1,9
CAE,4,7,4,3,4,76,4,10
CAE,3.9,7,3.9,3,3.9,76,3.9,10
CALIBRE Systems,3.7,4,3.7,2,3.7,34,3.7,7
California Bank & Trust,3,5,3,13,3,25,3,7
California Department of Industrial Relations,2.9,5,2.9,6,2.9,96,2.9,8
California State University,4.1,7,4.1,1,4.1,61,4.1,10
Calix,4.6,4,4.6,3,4.6,24,4.6,7
CALNET,3.5,3,3.5,2,3.5,34,3.5,3
CalOptima,2.4,5,2.4,6,2.4,30,2.4,10
Calpine,3.8,5,3.8,2,3.8,39,3.8,11
Cambium Learning Group,3.1,4,3.1,2,3.1,19,3.1,7
"Cambridge Investment Research, Inc.",3.3,4,3.3,2,3.3,42,3.3,7
Cambridge Systematics,4.3,3,4.3,2,4.3,51,4.3,6
Campbell Soup Company,3.2,7,3.2,3,3.2,154,3.2,11
CAMRIS International,4,3,4,2,4,20,4,6
CAMSO,3.3,6,3.3,2,3.3,41,3.3,9
Canadian Tire Corporation,3.6,6,3.6,3,3.6,101,3.6,12
Canvas InfoTech Inc.,4.1,1,4.1,2,4.1,17,4.1,2
Capax Global,4.7,2,4.7,13,4.7,25,4.7,5
Capco,3.9,6,3.9,3,3.9,25,3.9,8
Capgemini,3.8,7,3.8,3,3.8,56,3.8,12
CAPITAL AREA FOOD BANK,2.7,2,2.7,8,2.7,43,2.7,6
Capital Group,3.9,6,3.9,2,3.9,92,3.9,9
Capital Metro,2.9,5,2.9,3,2.9,38,2.9,5
Capital One,3.9,7,3.9,3,3.9,29,3.9,12
CapTech,3.9,5,3.9,2,3.9,26,3.9,7
Cardinal Health,3.4,7,3.4,3,3.4,52,3.4,12
Cardtronics,2.7,5,2.7,3,2.7,22,2.7,9
Care.com,3.6,4,3.6,2,3.6,16,3.6,7
Career Movement,4.8,1,4.8,2,4.8,24,4.8,2
"CareSource, LLC",4,5,4,8,4,34,4,11
CareWorks Technologies,3.6,2,3.6,2,3.6,24,3.6,5
Cargill,3.9,7,3.9,2,3.9,158,3.9,12
Carillon Assisted Living,2,4,2,2,2,27,2,5
Caring.com,3.1,3,3.1,2,3.1,16,3.1,2
"Carollo Engineers, Inc",4.1,5,4.1,2,4.1,90,4.1,7
CaroMont Health,3.3,5,3.3,8,3.3,39,3.3,5
Carrier,3.1,7,3.1,13,3.1,121,3.1,12
CAS,3.1,5,3.1,13,3.1,116,3.1,7
CASES,3.5,3,3.5,8,3.5,34,3.5,4
Cask Technologies,3.7,2,3.7,2,3.7,19,3.7,1
Casting Networks,3.4,2,3.4,2,3.4,21,3.4,4
Castlight Health,3.3,3,3.3,3,3.3,15,3.3,7
Catalent Pharma,3.1,7,3.1,3,3.1,16,3.1,2
Catalina Marketing,3.1,5,3.1,2,3.1,40,3.1,8
Catapult Systems,4.4,3,4.4,2,4.4,30,4.4,6
Caterpillar,3.8,7,3.8,3,3.8,98,3.8,12
Cathay General Bancorp,3.2,5,3.2,3,3.2,33,3.2,8
Catholic Diocese Of Fort Worth,3.5,5,3.5,2,3.5,54,3.5,4
Catholic Health Services of Long Island,3.1,7,3.1,8,3.1,26,3.1,5
"Cavco Industries, Inc.",2.2,6,2.2,3,2.2,20,2.2,9
CB Insights,4.1,3,4.1,2,4.1,14,4.1,5
cbanc,4.8,1,4.8,2,4.8,14,4.8,1
Cboe Global Markets,3.7,4,3.7,3,3.7,50,3.7,8
CBS Interactive,3.7,5,3.7,13,3.7,31,3.7,8
CBS Television Network,3.7,6,3.7,13,3.7,23,3.7,10
"CCC Information Services, Inc.",3.7,5,3.7,2,3.7,43,3.7,8
CDM Smith,3.9,6,3.9,2,3.9,76,3.9,9
CDO Technologies Inc,3.3,3,3.3,2,3.3,28,3.3,6
CDW,3.8,6,3.8,3,3.8,39,3.8,12
CDW,3.9,6,3.9,3,3.9,39,3.9,12
Cedar Fair,3.9,7,3.9,3,3.9,40,3.9,9
Cedars-Sinai,3.9,7,3.9,8,3.9,121,3.9,10
Celanese,3.8,5,3.8,3,3.8,19,3.8,11
Celerion,3,5,3,2,3,13,3,7
Celerity,4.1,3,4.1,13,4.1,21,4.1,6
CenCore LLC,4,2,4,2,4,13,4,2
Cengage,3.9,5,3.9,2,3.9,16,3.9,9
Cenlar,2.5,5,2.5,2,2.5,65,2.5,7
Centene,3.3,7,3.3,3,3.3,39,3.3,12
Centene Corporation,3.3,7,3.3,3,3.3,39,3.3,12
"Center for Autism and Related Disorders, Inc.",2.7,5,2.7,2,2.7,33,2.7,5
Center For Employment Opportunities,4,2,4,2,4,28,4,4
Center for Sustainable,2.8,2,2.8,8,2.8,27,2.8,6
Center for Sustainable Energy,2.8,2,2.8,8,2.8,27,2.8,6
CenterPoint Energy,3.5,6,3.5,3,3.5,22,3.5,11
"Central Business Solutions, Inc",4,1,4,2,4,22,4,3
Central California Alliance for Health,3.5,4,3.5,8,3.5,27,3.5,8
Central Garden & Pet Company,3.6,5,3.6,3,3.6,43,3.6,10
centrexIT,4.1,2,4.1,2,4.1,21,4.1,4
Centric Consulting,5,4,5,2,5,24,5,7
Centrica,3.3,7,3.3,3,3.3,26,3.3,12
Centrillion,2.2,1,2.2,2,2.2,14,2.2,2
Centro,4,4,4,2,4,22,4,7
Century Communities,3.5,4,3.5,3,3.5,21,3.5,8
CenturyLink,3,7,3,3,3,93,3,12
Cepheid,3.4,5,3.4,2,3.4,27,3.4,8
Cepheid,3.3,5,3.3,2,3.3,27,3.3,8
Ceridian,4.2,5,4.2,3,4.2,32,4.2,8
Cerner,3.8,7,3.8,3,3.8,44,3.8,11
CertainTeed,3.3,6,3.3,13,3.3,119,3.3,9
CES Limited,3.7,2,3.7,2,3.7,10,3.7,3
CF Industries,3.3,5,3.3,3,3.3,77,3.3,11
CF Industries,3.4,5,3.4,3,3.4,77,3.4,11
CGI,3.5,7,3.5,3,3.5,47,3.5,12
CH Reynolds,3.6,3,3.6,2,3.6,40,3.6,6
Chai,4.3,1,4.3,2,4.3,10,4.3,3
"Chalk Mountain Services of Texas, LLC",3.7,4,3.7,4,3.7,17,3.7,7
Chamberlain Group Inc,3.2,5,3.2,2,3.2,123,3.2,8
Chamberlain Group Inc,3.1,5,3.1,2,3.1,123,3.1,8
Champion EMS,2.8,3,2.8,2,2.8,25,2.8,5
Charles Drew University,3.4,4,3.4,1,3.4,57,3.4,6
Charles River Associates,4.6,4,4.6,3,4.6,58,4.6,7
Charles Schwab,3.6,7,3.6,3,3.6,50,3.6,11
Charles Schwab Corporation,3.6,7,3.6,3,3.6,50,3.6,11
Charlie's Produce,3.7,5,3.7,2,3.7,45,3.7,4
Charlotte Eye Ear Nose and Throat Associates,3.1,4,3.1,10,3.1,100,3.1,5
Checkers & Rally's Drive-In Restaurants,2.9,5,2.9,2,2.9,38,2.9,7
Chegg,4,5,4,3,4,18,4,7
Chenega MIOS,4.3,5,4.3,2,4.3,18,4.3,8
Chevo Consulting,3.1,2,3.1,2,3.1,21,3.1,4
Child and Family Service,3.7,3,3.7,2,3.7,124,3.7,5
Child Mind Institute,3.2,3,3.2,8,3.2,14,3.2,5
Children's Home Society of Florida,2.8,5,2.8,8,2.8,121,2.8,7
Children's Hospital Los Angeles,3.9,5,3.9,8,3.9,122,3.9,7
Children's Hospital of Philadelphia,3.7,5,3.7,8,3.7,168,3.7,6
Children's Institute Inc.,3.5,4,3.5,8,3.5,117,3.5,6
Children's National Health System,3.6,6,3.6,8,3.6,153,3.6,8
China Unicom,3.5,7,3.5,3,3.5,23,3.5,12
Chinatrust Bank USA,3.3,2,3.3,2,3.3,34,3.3,6
Chipotle,3.4,7,3.4,3,3.4,30,3.4,10
Chipton-Ross,3.3,2,3.3,2,3.3,40,3.3,4
Chobani,4,5,4,2,4,18,4,9
Choice Hotels,3.4,5,3.4,3,3.4,84,3.4,9
CHOP,3.7,5,3.7,8,3.7,168,3.7,6
Christian Care Ministry,3.2,4,3.2,8,3.2,30,3.2,8
CHRISTUS Health,3.3,7,3.3,8,3.3,154,3.3,11
CHRISTUS Health,3.4,7,3.4,8,3.4,154,3.4,11
CHS Inc.,3.3,7,3.3,3,3.3,94,3.3,12
Chubb,3.3,7,3.3,3,3.3,231,3.3,12
Cigniti Inc.,3.4,5,3.4,3,3.4,25,3.4,7
Cinedigm,2.8,2,2.8,3,2.8,23,2.8,6
Circle K,2.9,7,2.9,3,2.9,72,2.9,10
"Circle K Stores, Inc.",2.9,7,2.9,3,2.9,72,2.9,10
Circle Logistics,3.7,3,3.7,2,3.7,12,3.7,7
CIRCOR International,2.4,5,2.4,3,2.4,24,2.4,9
CIRE,4.8,1,4.8,2,4.8,13,4.8,5
Cirrus Logic,4.3,5,4.3,3,4.3,39,4.3,9
Cisco Systems - Customer Experience,4.2,7,4.2,2,4.2,39,4.2,12
Cisco Systems - Engineering - Software,4.1,7,4.1,2,4.1,39,4.1,12
Cision,2.9,5,2.9,2,2.9,131,2.9,8
CIT,3.1,5,3.1,3,3.1,115,3.1,10
CIT Group,3.1,5,3.1,3,3.1,115,3.1,10
Citadel,3.8,5,3.8,2,3.8,33,3.8,6
Citi,3.7,7,3.7,3,3.7,211,3.7,12
Citibank,3.7,7,3.7,3,3.7,211,3.7,12
Citius Tech,3.6,5,3.6,2,3.6,18,3.6,7
CitiusTech,3.6,5,3.6,2,3.6,18,3.6,7
Citizens Bank,3.3,7,3.3,3,3.3,35,3.3,11
Citizens Bank,3.4,7,3.4,3,3.4,35,3.4,11
Citizens Property Insurance,3.3,5,3.3,6,3.3,21,3.3,8
Citizens Property Insurance Corporation,3.3,5,3.3,6,3.3,21,3.3,8
City Facilities Management (FL) LLC,2.9,7,2.9,2,2.9,38,2.9,8
City Facilities Management (FL) LLC,3.2,7,3.2,2,3.2,38,3.2,8
City of Albuquerque,3.5,6,3.5,2,3.5,317,3.5,3
City of Hope,3.3,6,3.3,8,3.3,110,3.3,7
City of Irving,3.9,5,3.9,6,3.9,109,3.9,3
City of Lubbock,3.9,5,3.9,6,3.9,114,3.9,7
Civis Analytics,3.2,2,3.2,2,3.2,10,3.2,5
Civtech Inc.,4.5,1,4.5,2,4.5,21,4.5,2
CJ Cheiljedang,3,7,3,2,3,70,3,12
CKM Advisors,2.9,2,2.9,2,2.9,12,2.9,4
"Clarity Partners, LLC",4.6,2,4.6,2,4.6,19,4.6,4
Clarivate Analytics,2.8,5,2.8,3,2.8,7,2.8,9
Clay Lacy Aviation,4.4,2,4.4,2,4.4,57,4.4,6
Clear Channel Outdoor,2.9,6,2.9,3,2.9,122,2.9,10
"Clear Resolution Consulting, LLC",4.5,2,4.5,2,4.5,15,4.5,2
ClearBridge Technology Group,4,3,4,2,4,18,4,5
ClearCorrect,3.6,3,3.6,2,3.6,17,3.6,6
CLEAResult,2.9,5,2.9,2,2.9,20,2.9,7
Clever Devices,3.6,4,3.6,2,3.6,36,3.6,7
Client Solution Architects,3.4,3,3.4,2,3.4,20,3.4,6
ClientSolv Technologies,3.3,2,3.3,2,3.3,29,3.3,4
Clinical Pathology Laboratories,2.9,5,2.9,2,2.9,33,2.9,7
Clinicient,2.9,2,2.9,2,2.9,19,2.9,4
CliniComp,3.8,2,3.8,2,3.8,40,3.8,4
"CliniComp, Intl.",3.8,2,3.8,2,3.8,40,3.8,4
Clockwork Solutions,3.8,1,3.8,2,3.8,23,3.8,3
Cloudbigdata Technologies,4.7,5,4.7,2,4.7,25,4.7,6
CloudHesive,3.6,1,3.6,2,3.6,9,3.6,3
CloudRay Inc,4.6,2,4.6,2,4.6,15,4.6,3
Club Assist US LLC,4.2,3,4.2,2,4.2,32,4.2,4
ClubCorp,2.8,7,2.8,3,2.8,66,2.8,9
CM Solutions,5,1,5,2,5,22,5,2
CMC,3.2,7,3.2,2,3.2,48,3.2,12
CME Group,3.5,5,3.5,3,3.5,16,3.5,10
CMI/Compas,3.6,4,3.6,2,3.6,34,3.6,7
CNA,3.1,5,3.1,3,3.1,126,3.1,12
CNA Corporation,3.3,4,3.3,8,3.3,81,3.3,7
CNI,3.5,5,3.5,2,3.5,27,3.5,8
CNO Financial Group,2.7,5,2.7,3,2.7,44,2.7,10
Coach,3.7,7,3.7,3,3.7,82,3.7,10
CoAdvantage,3.5,3,3.5,2,3.5,26,3.5,6
Cobec Consulting,4.7,2,4.7,2,4.7,16,4.7,4
Cobham,2.8,6,2.8,3,2.8,134,2.8,10
Coca-Cola Bottling Consolidated,3.1,7,3.1,3,3.1,121,3.1,9
Cockroach Labs,4.7,2,4.7,2,4.7,8,4.7,3
CodeForce 360,3.7,2,3.7,2,3.7,13,3.7,5
Cogent Infotech,4.1,3,4.1,2,4.1,20,4.1,5
Cognizance Technologies,3.7,7,3.7,3,3.7,29,3.7,12
Cognizant,3.7,7,3.7,3,3.7,29,3.7,12
Cognizant Softvision,4.1,5,4.1,2,4.1,29,4.1,7
Cognizant Technology Solutions,3.7,7,3.7,3,3.7,29,3.7,12
Cognosante,3,5,3,2,3,15,3,7
CohnReznick,3.4,5,3.4,10,3.4,104,3.4,8
Colfax Corporation,2.1,7,2.1,3,2.1,28,2.1,10
Colgate-Palmolive,4.1,7,4.1,3,4.1,217,4.1,12
Collabera,4.1,7,4.1,2,4.1,32,4.1,8
Collaborative Solutions,3.7,4,3.7,2,3.7,20,3.7,6
Colliers International,3.5,7,3.5,3,3.5,125,3.5,10
Collins Consulting,2.7,3,2.7,2,2.7,31,2.7,5
Collins Consulting Inc,2.7,3,2.7,2,2.7,31,2.7,5
Collinwood Technology Partners,4.7,2,4.7,2,4.7,9,4.7,2
"Collinwood Technology Partners, LLC",4.7,2,4.7,2,4.7,9,4.7,2
Colorado Technical University,2.4,3,2.4,1,2.4,58,2.4,4
COLSA,4,5,4,2,4,43,4,7
Columbia Gas of Pennsylvania,4.4,4,4.4,3,4.4,30,4.4,6
Columbia University,3.9,7,3.9,1,3.9,85,3.9,10
Comcast,3.6,7,3.6,3,3.6,60,3.6,12
Comerica Bank,3.4,6,3.4,3,3.4,174,3.4,10
Comet Group,2.8,5,2.8,3,2.8,75,2.8,7
Commercial Energy,3.8,1,3.8,2,3.8,26,3.8,7
Common Ground,3.2,2,3.2,8,3.2,52,3.2,4
Commonwealth Financial,3.4,4,3.4,2,3.4,44,3.4,9
CommScope,3.4,7,3.4,3,3.4,58,3.4,10
CommScope Inc.,3.4,7,3.4,3,3.4,58,3.4,10
Community Behavioral Health,3.6,3,3.6,2,3.6,29,3.6,8
Community Health Systems,2.6,7,2.6,3,2.6,38,2.6,12
Community HousingWorks,2.4,2,2.4,8,2.4,35,2.4,3
CommUnityCare,3,5,3,8,3,14,3,7
Compass,4,5,4,2,4,11,4,8
Compass Group USA,3.5,7,3.5,13,3.5,29,3.5,12
"Competent Systems, Inc",3.7,3,3.7,2,3.7,20,3.7,4
CompleteRx Ltd,3,3,3,2,3,25,3,7
Complex Networks,3.4,3,3.4,2,3.4,21,3.4,7
CompQsoft,3.5,2,3.5,2,3.5,26,3.5,4
Comprehensive Health Services,2.8,3,2.8,8,2.8,54,2.8,4
ComPsych,3.1,4,3.1,2,3.1,39,3.1,8
CompuCom,2.8,7,2.8,3,2.8,36,2.8,10
CompuGain Corporation,4,3,4,2,4,23,4,5
Compunnel Inc.,3.3,5,3.3,2,3.3,29,3.3,7
Computacenter Americas,3.4,7,3.4,3,3.4,42,3.4,10
Computer Aid,3.3,5,3.3,2,3.3,42,3.3,8
"Computer Enterprises, Inc.",3.5,4,3.5,2,3.5,31,3.5,6
Computer Resources of America,4.2,1,4.2,2,4.2,31,4.2,8
Computer Services,3.9,5,3.9,3,3.9,58,3.9,7
Computer World Services Corp,2.9,3,2.9,2,2.9,33,2.9,6
Computershare,3.1,7,3.1,3,3.1,45,3.1,10
"Computex, Inc.",3.6,2,3.6,2,3.6,36,3.6,7
ComResource,4.6,3,4.6,2,4.6,32,4.6,5
comScore,2.7,5,2.7,3,2.7,24,2.7,9
ComTec Information Systems,4.4,2,4.4,2,4.4,27,4.4,5
Comtek Group,5,2,5,2,5,22,5,3
Conagra Brands,3.6,7,3.6,3,3.6,104,3.6,4
Concept Plus,4.6,2,4.6,2,4.6,15,4.6,4
Concept Software & Services Inc,5,1,5,2,5,25,5,2
"Concorde Career Colleges, Inc.",3.2,5,3.2,2,3.2,37,3.2,7
Concordia Plan Services,4.2,2,4.2,8,4.2,86,4.2,5
Concordia University Texas,2.8,3,2.8,1,2.8,97,2.8,5
Concourse Federal Group,4.9,1,4.9,2,4.9,14,4.9,3
Concurrency,3.8,2,3.8,2,3.8,34,3.8,5
Conductor,4.4,3,4.4,2,4.4,13,4.4,5
Confluent,4.6,4,4.6,2,4.6,9,4.6,7
